symbol,start,end,ema_fast_len,ema_slow_len,rsi_len,atr_period,atr_sl_factor,atr_tp_factor,total_profit_usd,win_rate,max_drawdown_usd,sharpe_ratio
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.4,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.4,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.4,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.5,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.5,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.5,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.6,2.5,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.6,3.0,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,13,13,0.6,3.5,92.3127937228121,0.2857142857142857,331.31202217619546,1.1466267292301648
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.4,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.4,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.4,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.5,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.5,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.5,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.6,2.5,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.6,3.0,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,13,14,0.6,3.5,92.3127937228121,0.2857142857142857,331.31202217619546,1.1466267292301648
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.4,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.4,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.4,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.5,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.5,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.5,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.6,2.5,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.6,3.0,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,13,15,0.6,3.5,92.3127937228121,0.2857142857142857,331.31202217619546,1.1466267292301648
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.4,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.4,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.4,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.5,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.5,3.0,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.5,3.5,188.24560644785038,0.2857142857142857,304.36515832537395,2.450889013387415
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.6,2.5,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.6,3.0,-38.70740306641636,0.2857142857142857,331.31202217619546,-0.5693973645900368
SOL/USDT,2025-01-01,2025-01-31,8,20,14,13,0.6,3.5,92.3127937228121,0.2857142857142857,331.31202217619546,1.1466267292301648
SOL/USDT,2025-01-01,2025-01-31,8,20,14,14,0.4,2.5,57.225409658621956,0.2857142857142857,304.36515832537395,0.8877363833052524
