ema_fast_len,ema_slow_len,rsi_len,atr_period,atr_sl_factor,atr_tp_factor,total_profit_usd,win_rate,max_drawdown_usd,sharpe_ratio
8.0,20.0,13.0,14.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,15.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,15.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,15.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,15.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,13.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,14.0,0.6,3.5,174.5518880380248,1.0,0.0,
8.0,20.0,13.0,15.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,14.0,0.5,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,14.0,14.0,0.4,3.5,174.5518880380248,1.0,0.0,
8.0,21.0,15.0,14.0,0.6,3.5,174.5518880380248,1.0,0.0,
9.0,22.0,15.0,13.0,0.5,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,14.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.6,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,14.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,14.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,14.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,14.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,14.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,15.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,15.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,15.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,15.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,15.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,15.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.4,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,14.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,15.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,15.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,15.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,15.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,15.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,15.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,14.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,15.0,13.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,14.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,14.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,14.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,14.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.6,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.4,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.5,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,15.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,15.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,14.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,15.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,15.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.6,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,14.0,0.5,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,15.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,14.0,0.5,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,14.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.6,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,14.0,0.6,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,13.0,13.0,0.4,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,15.0,0.4,2.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,13.0,0.5,3.5,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,14.0,0.4,3.0,174.33005057226467,1.0,0.0,
9.0,22.0,14.0,15.0,0.4,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,15.0,15.0,0.4,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,14.0,15.0,0.5,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,13.0,15.0,0.4,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,13.0,15.0,0.5,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,14.0,15.0,0.6,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,15.0,15.0,0.6,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,13.0,15.0,0.6,3.5,171.33564013840873,1.0,0.0,
9.0,22.0,15.0,15.0,0.5,3.5,171.33564013840873,1.0,0.0,
10.0,21.0,15.0,14.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,14.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,14.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,13.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,13.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,14.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,14.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,13.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,14.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,15.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,13.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,15.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,14.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,13.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,13.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,15.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,15.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,15.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,13.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,14.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,14.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,15.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,14.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,14.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,13.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,13.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,13.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,13.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,13.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,13.0,14.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,13.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,13.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,15.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,13.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,13.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,13.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,13.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,13.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,13.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,13.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,14.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,14.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,14.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,14.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,14.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,14.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,15.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,13.0,15.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,15.0,13.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,13.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,13.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,13.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,13.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,13.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,14.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,14.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,14.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,14.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,14.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,14.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,15.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,15.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,21.0,14.0,15.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,13.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,15.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,13.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,14.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,14.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,13.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,14.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,15.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,14.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,15.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,15.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,14.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,13.0,0.4,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,15.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,13.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,13.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,13.0,0.6,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,13.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,14.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,15.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,14.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,14.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,15.0,14.0,0.5,3.0,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,13.0,0.6,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,14.0,0.5,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,14.0,0.4,3.5,167.86130759569045,1.0,0.0,
10.0,22.0,14.0,14.0,0.4,3.0,167.86130759569045,1.0,0.0,
9.0,22.0,14.0,14.0,0.5,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,13.0,14.0,0.5,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,14.0,14.0,0.4,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,13.0,14.0,0.4,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,15.0,14.0,0.4,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,15.0,14.0,0.6,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,15.0,14.0,0.5,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,13.0,14.0,0.6,3.5,166.01224381155137,1.0,0.0,
9.0,22.0,14.0,14.0,0.6,3.5,166.01224381155137,1.0,0.0,
8.0,21.0,13.0,15.0,0.6,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,14.0,15.0,0.6,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,14.0,15.0,0.6,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,15.0,15.0,0.5,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,15.0,15.0,0.4,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,15.0,15.0,0.4,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,15.0,15.0,0.5,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,15.0,15.0,0.6,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,13.0,15.0,0.4,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,14.0,15.0,0.4,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,14.0,15.0,0.5,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,13.0,15.0,0.5,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,15.0,15.0,0.6,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,14.0,15.0,0.5,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,14.0,15.0,0.4,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,13.0,15.0,0.5,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,13.0,15.0,0.4,3.0,134.61262212833347,1.0,0.0,
8.0,20.0,13.0,15.0,0.6,3.0,134.61262212833347,1.0,0.0,
8.0,21.0,13.0,14.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,13.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,15.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,14.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,15.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,14.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,14.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,15.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,14.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,14.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,15.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,14.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,15.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,14.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,15.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,14.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,15.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,14.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,14.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,13.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,13.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,13.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,13.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,14.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,13.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,13.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,14.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,15.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,15.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,14.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,14.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,14.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,14.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,13.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,14.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,14.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,13.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,13.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,14.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,13.0,13.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,14.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,14.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,14.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,14.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,15.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,14.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,15.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,13.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,15.0,15.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,20.0,14.0,13.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,20.0,13.0,13.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,13.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,14.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,15.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,15.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,15.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,15.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,14.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,14.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,14.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,14.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,14.0,0.5,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,14.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,14.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,13.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,13.0,0.4,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,15.0,0.6,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,15.0,13.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,14.0,0.5,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,14.0,0.6,3.0,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,15.0,0.4,2.5,134.28254555056773,1.0,0.0,
8.0,21.0,14.0,14.0,0.5,2.5,134.28254555056773,1.0,0.0,
10.0,21.0,15.0,15.0,0.6,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,14.0,15.0,0.6,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,15.0,15.0,0.6,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,15.0,15.0,0.4,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,15.0,15.0,0.5,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,14.0,15.0,0.6,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,14.0,15.0,0.5,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,14.0,15.0,0.5,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,13.0,15.0,0.5,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,14.0,15.0,0.4,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,14.0,15.0,0.4,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,13.0,15.0,0.5,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,15.0,15.0,0.5,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,13.0,15.0,0.6,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,13.0,15.0,0.6,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,13.0,15.0,0.4,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,13.0,15.0,0.4,3.0,127.86659615257526,1.0,0.0,
10.0,21.0,15.0,15.0,0.4,3.0,127.86659615257526,1.0,0.0,
10.0,22.0,14.0,15.0,0.5,2.5,127.53606134726053,1.0,0.0,
10.0,22.0,14.0,14.0,0.4,2.5,127.53606134726053,1.0,0.0,
10.0,21.0,15.0,15.0,0.6,2.5,127.53606134726053,1.0,0.0,
10.0,22.0,14.0,13.0,0.4,2.5,127.53606134726053,1.0,0.0,
